node_id,node_type,name,country,owner,status,capacity_mt_day,demand_mt_day,latitude,longitude
tianhu_distribution_station_china,international_source,Tianhu Distribution Station,China,Anhui Province Natural Gas Development Co Ltd [100.00%],operating,1797.46,0.0,,
yansi_china,import_port,Yansi,China,Anhui Province Natural Gas Development Co Ltd [100.00%],operating,1797.46,0.0,,
yangzhou_china,international_source,Yangzhou,China,Anhui Province Natural Gas Development Co Ltd [100.00%],shelved,0.0,0.0,,
chuzhou_china,import_port,Chuzhou,China,Anhui Province Natural Gas Development Co Ltd [100.00%],shelved,0.0,0.0,,
yaoli_china,international_source,Yaoli ,China,Huaihe Energy Gas Group Co Ltd [100.00%],proposed,0.0,0.0,,
wangjieliuxiang_china,import_port,Wangjieliuxiang,China,Huaihe Energy Gas Group Co Ltd [100.00%],proposed,0.0,0.0,,
datong_china,import_port,Datong,China,Huaihe Energy Gas Group Co Ltd [100.00%],shelved,4384.04,0.0,,
lu_an_distribution_station_china,international_source,Lu'an Distribution Station,China,Huaihe Energy Gas Group Co Ltd [100.00%],operating,5151.25,0.0,,
jinzhai_distribution_station_china,import_port,Jinzhai Distribution Station,China,Huaihe Energy Gas Group Co Ltd [100.00%],operating,5151.25,0.0,,
guzhen_china,international_source,Guzhen,China,Anhui Province Natural Gas Development Co Ltd [100.00%],proposed,6137.66,0.0,,
sixian_china,import_port,Sixian,China,Anhui Province Natural Gas Development Co Ltd [100.00%],proposed,6137.66,0.0,,
maya_china,import_port,Maya,China,Hefei Heran China Resources Gas Co Ltd [100.00%],operating,4384.04,0.0,,
anhui_china,international_source,Anhui,China,--,operating,24704.09,0.0,,
yeji_china,import_port,Yeji,China,--,operating,24704.09,0.0,,
tongcheng_china,international_source,Tongcheng,China,Anhui Province Natural Gas Development Co Ltd [100.00%],operating,1139.85,0.0,,
zongyang_china,import_port,Zongyang,China,Anhui Province Natural Gas Development Co Ltd [100.00%],operating,1139.85,0.0,,
dongjiakou_china,international_source,Dongjiakou,China,National Pipe Network Group North Pipeline Co Ltd [100.00%],operating,14730.39,0.0,,
laixi_china,import_port,Laixi,China,National Pipe Network Group North Pipeline Co Ltd [100.00%],operating,14730.39,0.0,,
shandong_china,import_port,Shandong,China,National Pipe Network Group North Pipeline Co Ltd [100.00%],operating,13152.13,0.0,35.216156,118.5942
sishui_china,international_source,Sishui,China,Jining PetroChina Kunlun Energy Co Ltd [100.00%],construction,6576.07,0.0,35.656833,117.221073
jiaozhou_china,international_source,Jiaozhou,China,Petrochina Shandong Natural Gas Pipeline Ltd [100.00%],operating,876.81,0.0,,
laizhou_china,import_port,Laizhou,China,Petrochina Shandong Natural Gas Pipeline Ltd [100.00%],operating,876.81,0.0,,
linzi_china,import_port,Linzi,China,Shandong Natural Gas Pipeline Co Ltd [100.00%],operating,6137.66,0.0,,
zhangqiu_china,international_source,Zhangqiu,China,Shandong Natural Gas Pipeline Co Ltd [100.00%],operating,2849.63,0.0,,
qihe_china,international_source,Qihe,China,National Pipe Network Group North Pipeline Co Ltd [100.00%],operating,11398.51,0.0,,
pingdu_china,import_port,Pingdu,China,National Pipe Network Group North Pipeline Co Ltd [100.00%],operating,11398.51,0.0,,
longkou_lng_terminal_longkou_china,international_source,"Longkou LNG Terminal, Longkou",China,Shandong Southeast Pipeline Natural Gas Co Ltd [100.00%],operating,30469.1,0.0,,
tangtou_pigging_station_of_the_south_trunk_line_china,import_port,Tangtou Pigging Station of the South Trunk Line,China,Shandong Southeast Pipeline Natural Gas Co Ltd [100.00%],operating,30469.1,0.0,,
longkou_china,international_source,Longkou,China,Shandong Natural Gas Pipeline Co Ltd [100.00%],proposed,76720.77,0.0,37.562147,120.34577
lanshan_china,international_source,Lanshan,China,Shandong Southeast Pipeline Natural Gas Co Ltd [100.00%],operating,72336.72,0.0,,
yuncheng_china,import_port,Yuncheng,China,Shandong Southeast Pipeline Natural Gas Co Ltd [100.00%],operating,72336.72,0.0,,
qihe_county_china,international_source,Qihe County,China,Petrochina Shandong Natural Gas Pipeline Ltd [100.00%],operating,1753.62,0.0,,
wenshang_county_china,import_port,Wenshang County,China,Petrochina Shandong Natural Gas Pipeline Ltd [100.00%],operating,1753.62,0.0,,
west_yantai_lng_ternminal_china,international_source,West Yantai LNG Ternminal,China,Shandong Poly GCL Huanya International Energy Co Ltd [100.00%],construction,17536.18,0.0,,
duanshi_town_china,international_source,Duanshi Town,China,Shanxi Tongyu Coalbed Methane Transportation and Distribution Ltd [100.00%],operating,4384.04,0.0,,
motou_town_boai_county_china,import_port,"Motou Town, Boai County",China,Shanxi Tongyu Coalbed Methane Transportation and Distribution Ltd [100.00%],operating,4384.04,0.0,,
ji_county_china,international_source,Ji County,China,Qinjin Natural Gas Co Ltd [100.00%],construction,7233.67,0.0,,
yanchang_china,import_port,Yanchang,China,Qinjin Natural Gas Co Ltd [100.00%],construction,7233.67,0.0,,
yangqu_county_china,international_source,Yangqu County,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,876.81,0.0,,
yuanping_city_china,import_port,Yuanping City,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,876.81,0.0,,
dingxiang_county_china,international_source,Dingxiang County,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,657.61,0.0,,
wutai_county_china,import_port,Wutai County,China,Shanxi Guoxin Energy Corp Ltd [100.00%],operating,657.61,0.0,,
